Possible Vaccine Adverse Events,Source Title,Source Author,Source Date,Source Additional Information,Source URL
Acute febrile neutrophilic dermatosis,5.3.6 Cumulative Analysis of Post-Authorization Adverse Event Reports of PF-07302048 (BNT162B2) Received Through 28-Feb-2021 Report,Worldwide Safety Pfizer,2021-04-30,Document was released as part of a Freedom of Information Act (FOIA) lawsuit against the United States Food and Drug Administration (FDA) filed by the Public Health and Medical Professionals for Transparency non-profit organization,https://phmpt.org/wp-content/uploads/2021/11/5.3.6-postmarketing-experience.pdf
Acute flaccid myelitis,5.3.6 Cumulative Analysis of Post-Authorization Adverse Event Reports of PF-07302048 (BNT162B2) Received Through 28-Feb-2021 Report,Worldwide Safety Pfizer,2021-04-30,Document was released as part of a Freedom of Information Act (FOIA) lawsuit against the United States Food and Drug Administration (FDA) filed by the Public Health and Medical Professionals for Transparency non-profit organization,https://phmpt.org/wp-content/uploads/2021/11/5.3.6-postmarketing-experience.pdf
Acute haemorrhagic leukoencephalitis,5.3.6 Cumulative Analysis of Post-Authorization Adverse Event Reports of PF-07302048 (BNT162B2) Received Through 28-Feb-2021 Report,Worldwide Safety Pfizer,2021-04-30,Document was released as part of a Freedom of Information Act (FOIA) lawsuit against the United States Food and Drug Administration (FDA) filed by the Public Health and Medical Professionals for Transparency non-profit organization,https://phmpt.org/wp-content/uploads/2021/11/5.3.6-postmarketing-experience.pdf
Acute haemorrhagic oedema of infancy,5.3.6 Cumulative Analysis of Post-Authorization Adverse Event Reports of PF-07302048 (BNT162B2) Received Through 28-Feb-2021 Report,Worldwide Safety Pfizer,2021-04-30,Document was released as part of a Freedom of Information Act (FOIA) lawsuit against the United States Food and Drug Administration (FDA) filed by the Public Health and Medical Professionals for Transparency non-profit organization,https://phmpt.org/wp-content/uploads/2021/11/5.3.6-postmarketing-experience.pdf
Acute kidney injury,5.3.6 Cumulative Analysis of Post-Authorization Adverse Event Reports of PF-07302048 (BNT162B2) Received Through 28-Feb-2021 Report,Worldwide Safety Pfizer,2021-04-30,Document was released as part of a Freedom of Information Act (FOIA) lawsuit against the United States Food and Drug Administration (FDA) filed by the Public Health and Medical Professionals for Transparency non-profit organization,https://phmpt.org/wp-content/uploads/2021/11/5.3.6-postmarketing-experience.pdf
Acute macular outer retinopathy,5.3.6 Cumulative Analysis of Post-Authorization Adverse Event Reports of PF-07302048 (BNT162B2) Received Through 28-Feb-2021 Report,Worldwide Safety Pfizer,2021-04-30,Document was released as part of a Freedom of Information Act (FOIA) lawsuit against the United States Food and Drug Administration (FDA) filed by the Public Health and Medical Professionals for Transparency non-profit organization,https://phmpt.org/wp-content/uploads/2021/11/5.3.6-postmarketing-experience.pdf
Acute motor axonal neuropathy,5.3.6 Cumulative Analysis of Post-Authorization Adverse Event Reports of PF-07302048 (BNT162B2) Received Through 28-Feb-2021 Report,Worldwide Safety Pfizer,2021-04-30,Document was released as part of a Freedom of Information Act (FOIA) lawsuit against the United States Food and Drug Administration (FDA) filed by the Public Health and Medical Professionals for Transparency non-profit organization,https://phmpt.org/wp-content/uploads/2021/11/5.3.6-postmarketing-experience.pdf
Acute motor-sensory axonal neuropathy,5.3.6 Cumulative Analysis of Post-Authorization Adverse Event Reports of PF-07302048 (BNT162B2) Received Through 28-Feb-2021 Report,Worldwide Safety Pfizer,2021-04-30,Document was released as part of a Freedom of Information Act (FOIA) lawsuit against the United States Food and Drug Administration (FDA) filed by the Public Health and Medical Professionals for Transparency non-profit organization,https://phmpt.org/wp-content/uploads/2021/11/5.3.6-postmarketing-experience.pdf
Acute myocardial infarction,5.3.6 Cumulative Analysis of Post-Authorization Adverse Event Reports of PF-07302048 (BNT162B2) Received Through 28-Feb-2021 Report,Worldwide Safety Pfizer,2021-04-30,Document was released as part of a Freedom of Information Act (FOIA) lawsuit against the United States Food and Drug Administration (FDA) filed by the Public Health and Medical Professionals for Transparency non-profit organization,https://phmpt.org/wp-content/uploads/2021/11/5.3.6-postmarketing-experience.pdf
Acute respiratory distress syndrome,5.3.6 Cumulative Analysis of Post-Authorization Adverse Event Reports of PF-07302048 (BNT162B2) Received Through 28-Feb-2021 Report,Worldwide Safety Pfizer,2021-04-30,Document was released as part of a Freedom of Information Act (FOIA) lawsuit against the United States Food and Drug Administration (FDA) filed by the Public Health and Medical Professionals for Transparency non-profit organization,https://phmpt.org/wp-content/uploads/2021/11/5.3.6-postmarketing-experience.pdf
Acute respiratory failure,5.3.6 Cumulative Analysis of Post-Authorization Adverse Event Reports of PF-07302048 (BNT162B2) Received Through 28-Feb-2021 Report,Worldwide Safety Pfizer,2021-04-30,Document was released as part of a Freedom of Information Act (FOIA) lawsuit against the United States Food and Drug Administration (FDA) filed by the Public Health and Medical Professionals for Transparency non-profit organization,https://phmpt.org/wp-content/uploads/2021/11/5.3.6-postmarketing-experience.pdf
Addison's disease,5.3.6 Cumulative Analysis of Post-Authorization Adverse Event Reports of PF-07302048 (BNT162B2) Received Through 28-Feb-2021 Report,Worldwide Safety Pfizer,2021-04-30,Document was released as part of a Freedom of Information Act (FOIA) lawsuit against the United States Food and Drug Administration (FDA) filed by the Public Health and Medical Professionals for Transparency non-profit organization,https://phmpt.org/wp-content/uploads/2021/11/5.3.6-postmarketing-experience.pdf
Administration site thrombosis,5.3.6 Cumulative Analysis of Post-Authorization Adverse Event Reports of PF-07302048 (BNT162B2) Received Through 28-Feb-2021 Report,Worldwide Safety Pfizer,2021-04-30,Document was released as part of a Freedom of Information Act (FOIA) lawsuit against the United States Food and Drug Administration (FDA) filed by the Public Health and Medical Professionals for Transparency non-profit organization,https://phmpt.org/wp-content/uploads/2021/11/5.3.6-postmarketing-experience.pdf
Administration site vasculitis,5.3.6 Cumulative Analysis of Post-Authorization Adverse Event Reports of PF-07302048 (BNT162B2) Received Through 28-Feb-2021 Report,Worldwide Safety Pfizer,2021-04-30,Document was released as part of a Freedom of Information Act (FOIA) lawsuit against the United States Food and Drug Administration (FDA) filed by the Public Health and Medical Professionals for Transparency non-profit organization,https://phmpt.org/wp-content/uploads/2021/11/5.3.6-postmarketing-experience.pdf
Adrenal thrombosis,5.3.6 Cumulative Analysis of Post-Authorization Adverse Event Reports of PF-07302048 (BNT162B2) Received Through 28-Feb-2021 Report,Worldwide Safety Pfizer,2021-04-30,Document was released as part of a Freedom of Information Act (FOIA) lawsuit against the United States Food and Drug Administration (FDA) filed by the Public Health and Medical Professionals for Transparency non-profit organization,https://phmpt.org/wp-content/uploads/2021/11/5.3.6-postmarketing-experience.pdf
Adverse event following immunisation,5.3.6 Cumulative Analysis of Post-Authorization Adverse Event Reports of PF-07302048 (BNT162B2) Received Through 28-Feb-2021 Report,Worldwide Safety Pfizer,2021-04-30,Document was released as part of a Freedom of Information Act (FOIA) lawsuit against the United States Food and Drug Administration (FDA) filed by the Public Health and Medical Professionals for Transparency non-profit organization,https://phmpt.org/wp-content/uploads/2021/11/5.3.6-postmarketing-experience.pdf
Ageusia,5.3.6 Cumulative Analysis of Post-Authorization Adverse Event Reports of PF-07302048 (BNT162B2) Received Through 28-Feb-2021 Report,Worldwide Safety Pfizer,2021-04-30,Document was released as part of a Freedom of Information Act (FOIA) lawsuit against the United States Food and Drug Administration (FDA) filed by the Public Health and Medical Professionals for Transparency non-profit organization,https://phmpt.org/wp-content/uploads/2021/11/5.3.6-postmarketing-experience.pdf
Agranulocytosis,5.3.6 Cumulative Analysis of Post-Authorization Adverse Event Reports of PF-07302048 (BNT162B2) Received Through 28-Feb-2021 Report,Worldwide Safety Pfizer,2021-04-30,Document was released as part of a Freedom of Information Act (FOIA) lawsuit against the United States Food and Drug Administration (FDA) filed by the Public Health and Medical Professionals for Transparency non-profit organization,https://phmpt.org/wp-content/uploads/2021/11/5.3.6-postmarketing-experience.pdf
Air embolism,5.3.6 Cumulative Analysis of Post-Authorization Adverse Event Reports of PF-07302048 (BNT162B2) Received Through 28-Feb-2021 Report,Worldwide Safety Pfizer,2021-04-30,Document was released as part of a Freedom of Information Act (FOIA) lawsuit against the United States Food and Drug Administration (FDA) filed by the Public Health and Medical Professionals for Transparency non-profit organization,https://phmpt.org/wp-content/uploads/2021/11/5.3.6-postmarketing-experience.pdf
Alanine aminotransferase abnormal,5.3.6 Cumulative Analysis of Post-Authorization Adverse Event Reports of PF-07302048 (BNT162B2) Received Through 28-Feb-2021 Report,Worldwide Safety Pfizer,2021-04-30,Document was released as part of a Freedom of Information Act (FOIA) lawsuit against the United States Food and Drug Administration (FDA) filed by the Public Health and Medical Professionals for Transparency non-profit organization,https://phmpt.org/wp-content/uploads/2021/11/5.3.6-postmarketing-experience.pdf
Alanine aminotransferase increased,5.3.6 Cumulative Analysis of Post-Authorization Adverse Event Reports of PF-07302048 (BNT162B2) Received Through 28-Feb-2021 Report,Worldwide Safety Pfizer,2021-04-30,Document was released as part of a Freedom of Information Act (FOIA) lawsuit against the United States Food and Drug Administration (FDA) filed by the Public Health and Medical Professionals for Transparency non-profit organization,https://phmpt.org/wp-content/uploads/2021/11/5.3.6-postmarketing-experience.pdf
Alcoholic seizure,5.3.6 Cumulative Analysis of Post-Authorization Adverse Event Reports of PF-07302048 (BNT162B2) Received Through 28-Feb-2021 Report,Worldwide Safety Pfizer,2021-04-30,Document was released as part of a Freedom of Information Act (FOIA) lawsuit against the United States Food and Drug Administration (FDA) filed by the Public Health and Medical Professionals for Transparency non-profit organization,https://phmpt.org/wp-content/uploads/2021/11/5.3.6-postmarketing-experience.pdf
Allergic bronchopulmonary mycosis,5.3.6 Cumulative Analysis of Post-Authorization Adverse Event Reports of PF-07302048 (BNT162B2) Received Through 28-Feb-2021 Report,Worldwide Safety Pfizer,2021-04-30,Document was released as part of a Freedom of Information Act (FOIA) lawsuit against the United States Food and Drug Administration (FDA) filed by the Public Health and Medical Professionals for Transparency non-profit organization,https://phmpt.org/wp-content/uploads/2021/11/5.3.6-postmarketing-experience.pdf
Allergic oedema,5.3.6 Cumulative Analysis of Post-Authorization Adverse Event Reports of PF-07302048 (BNT162B2) Received Through 28-Feb-2021 Report,Worldwide Safety Pfizer,2021-04-30,Document was released as part of a Freedom of Information Act (FOIA) lawsuit against the United States Food and Drug Administration (FDA) filed by the Public Health and Medical Professionals for Transparency non-profit organization,https://phmpt.org/wp-content/uploads/2021/11/5.3.6-postmarketing-experience.pdf
Alloimmune hepatitis,5.3.6 Cumulative Analysis of Post-Authorization Adverse Event Reports of PF-07302048 (BNT162B2) Received Through 28-Feb-2021 Report,Worldwide Safety Pfizer,2021-04-30,Document was released as part of a Freedom of Information Act (FOIA) lawsuit against the United States Food and Drug Administration (FDA) filed by the Public Health and Medical Professionals for Transparency non-profit organization,https://phmpt.org/wp-content/uploads/2021/11/5.3.6-postmarketing-experience.pdf
Alopecia areata,5.3.6 Cumulative Analysis of Post-Authorization Adverse Event Reports of PF-07302048 (BNT162B2) Received Through 28-Feb-2021 Report,Worldwide Safety Pfizer,2021-04-30,Document was released as part of a Freedom of Information Act (FOIA) lawsuit against the United States Food and Drug Administration (FDA) filed by the Public Health and Medical Professionals for Transparency non-profit organization,https://phmpt.org/wp-content/uploads/2021/11/5.3.6-postmarketing-experience.pdf
Alpers disease,5.3.6 Cumulative Analysis of Post-Authorization Adverse Event Reports of PF-07302048 (BNT162B2) Received Through 28-Feb-2021 Report,Worldwide Safety Pfizer,2021-04-30,Document was released as part of a Freedom of Information Act (FOIA) lawsuit against the United States Food and Drug Administration (FDA) filed by the Public Health and Medical Professionals for Transparency non-profit organization,https://phmpt.org/wp-content/uploads/2021/11/5.3.6-postmarketing-experience.pdf
Alveolar proteinosis,5.3.6 Cumulative Analysis of Post-Authorization Adverse Event Reports of PF-07302048 (BNT162B2) Received Through 28-Feb-2021 Report,Worldwide Safety Pfizer,2021-04-30,Document was released as part of a Freedom of Information Act (FOIA) lawsuit against the United States Food and Drug Administration (FDA) filed by the Public Health and Medical Professionals for Transparency non-profit organization,https://phmpt.org/wp-content/uploads/2021/11/5.3.6-postmarketing-experience.pdf
Ammonia abnormal,5.3.6 Cumulative Analysis of Post-Authorization Adverse Event Reports of PF-07302048 (BNT162B2) Received Through 28-Feb-2021 Report,Worldwide Safety Pfizer,2021-04-30,Document was released as part of a Freedom of Information Act (FOIA) lawsuit against the United States Food and Drug Administration (FDA) filed by the Public Health and Medical Professionals for Transparency non-profit organization,https://phmpt.org/wp-content/uploads/2021/11/5.3.6-postmarketing-experience.pdf
Ammonia increased,5.3.6 Cumulative Analysis of Post-Authorization Adverse Event Reports of PF-07302048 (BNT162B2) Received Through 28-Feb-2021 Report,Worldwide Safety Pfizer,2021-04-30,Document was released as part of a Freedom of Information Act (FOIA) lawsuit against the United States Food and Drug Administration (FDA) filed by the Public Health and Medical Professionals for Transparency non-profit organization,https://phmpt.org/wp-content/uploads/2021/11/5.3.6-postmarketing-experience.pdf
Amniotic cavity infection,5.3.6 Cumulative Analysis of Post-Authorization Adverse Event Reports of PF-07302048 (BNT162B2) Received Through 28-Feb-2021 Report,Worldwide Safety Pfizer,2021-04-30,Document was released as part of a Freedom of Information Act (FOIA) lawsuit against the United States Food and Drug Administration (FDA) filed by the Public Health and Medical Professionals for Transparency non-profit organization,https://phmpt.org/wp-content/uploads/2021/11/5.3.6-postmarketing-experience.pdf
Amygdalohippocampectomy,5.3.6 Cumulative Analysis of Post-Authorization Adverse Event Reports of PF-07302048 (BNT162B2) Received Through 28-Feb-2021 Report,Worldwide Safety Pfizer,2021-04-30,Document was released as part of a Freedom of Information Act (FOIA) lawsuit against the United States Food and Drug Administration (FDA) filed by the Public Health and Medical Professionals for Transparency non-profit organization,https://phmpt.org/wp-content/uploads/2021/11/5.3.6-postmarketing-experience.pdf
Amyloid arthropathy,5.3.6 Cumulative Analysis of Post-Authorization Adverse Event Reports of PF-07302048 (BNT162B2) Received Through 28-Feb-2021 Report,Worldwide Safety Pfizer,2021-04-30,Document was released as part of a Freedom of Information Act (FOIA) lawsuit against the United States Food and Drug Administration (FDA) filed by the Public Health and Medical Professionals for Transparency non-profit organization,https://phmpt.org/wp-content/uploads/2021/11/5.3.6-postmarketing-experience.pdf
Amyloidosis,5.3.6 Cumulative Analysis of Post-Authorization Adverse Event Reports of PF-07302048 (BNT162B2) Received Through 28-Feb-2021 Report,Worldwide Safety Pfizer,2021-04-30,Document was released as part of a Freedom of Information Act (FOIA) lawsuit against the United States Food and Drug Administration (FDA) filed by the Public Health and Medical Professionals for Transparency non-profit organization,https://phmpt.org/wp-content/uploads/2021/11/5.3.6-postmarketing-experience.pdf
Amyloidosis senile,5.3.6 Cumulative Analysis of Post-Authorization Adverse Event Reports of PF-07302048 (BNT162B2) Received Through 28-Feb-2021 Report,Worldwide Safety Pfizer,2021-04-30,Document was released as part of a Freedom of Information Act (FOIA) lawsuit against the United States Food and Drug Administration (FDA) filed by the Public Health and Medical Professionals for Transparency non-profit organization,https://phmpt.org/wp-content/uploads/2021/11/5.3.6-postmarketing-experience.pdf
Anaphylactic reaction,5.3.6 Cumulative Analysis of Post-Authorization Adverse Event Reports of PF-07302048 (BNT162B2) Received Through 28-Feb-2021 Report,Worldwide Safety Pfizer,2021-04-30,Document was released as part of a Freedom of Information Act (FOIA) lawsuit against the United States Food and Drug Administration (FDA) filed by the Public Health and Medical Professionals for Transparency non-profit organization,https://phmpt.org/wp-content/uploads/2021/11/5.3.6-postmarketing-experience.pdf
Anaphylactic shock,5.3.6 Cumulative Analysis of Post-Authorization Adverse Event Reports of PF-07302048 (BNT162B2) Received Through 28-Feb-2021 Report,Worldwide Safety Pfizer,2021-04-30,Document was released as part of a Freedom of Information Act (FOIA) lawsuit against the United States Food and Drug Administration (FDA) filed by the Public Health and Medical Professionals for Transparency non-profit organization,https://phmpt.org/wp-content/uploads/2021/11/5.3.6-postmarketing-experience.pdf
Anaphylactic transfusion reaction,5.3.6 Cumulative Analysis of Post-Authorization Adverse Event Reports of PF-07302048 (BNT162B2) Received Through 28-Feb-2021 Report,Worldwide Safety Pfizer,2021-04-30,Document was released as part of a Freedom of Information Act (FOIA) lawsuit against the United States Food and Drug Administration (FDA) filed by the Public Health and Medical Professionals for Transparency non-profit organization,https://phmpt.org/wp-content/uploads/2021/11/5.3.6-postmarketing-experience.pdf
Anaphylactoid reaction,5.3.6 Cumulative Analysis of Post-Authorization Adverse Event Reports of PF-07302048 (BNT162B2) Received Through 28-Feb-2021 Report,Worldwide Safety Pfizer,2021-04-30,Document was released as part of a Freedom of Information Act (FOIA) lawsuit against the United States Food and Drug Administration (FDA) filed by the Public Health and Medical Professionals for Transparency non-profit organization,https://phmpt.org/wp-content/uploads/2021/11/5.3.6-postmarketing-experience.pdf
Anaphylactoid shock,5.3.6 Cumulative Analysis of Post-Authorization Adverse Event Reports of PF-07302048 (BNT162B2) Received Through 28-Feb-2021 Report,Worldwide Safety Pfizer,2021-04-30,Document was released as part of a Freedom of Information Act (FOIA) lawsuit against the United States Food and Drug Administration (FDA) filed by the Public Health and Medical Professionals for Transparency non-profit organization,https://phmpt.org/wp-content/uploads/2021/11/5.3.6-postmarketing-experience.pdf
Anaphylactoid syndrome of pregnancy,5.3.6 Cumulative Analysis of Post-Authorization Adverse Event Reports of PF-07302048 (BNT162B2) Received Through 28-Feb-2021 Report,Worldwide Safety Pfizer,2021-04-30,Document was released as part of a Freedom of Information Act (FOIA) lawsuit against the United States Food and Drug Administration (FDA) filed by the Public Health and Medical Professionals for Transparency non-profit organization,https://phmpt.org/wp-content/uploads/2021/11/5.3.6-postmarketing-experience.pdf
Angioedema,5.3.6 Cumulative Analysis of Post-Authorization Adverse Event Reports of PF-07302048 (BNT162B2) Received Through 28-Feb-2021 Report,Worldwide Safety Pfizer,2021-04-30,Document was released as part of a Freedom of Information Act (FOIA) lawsuit against the United States Food and Drug Administration (FDA) filed by the Public Health and Medical Professionals for Transparency non-profit organization,https://phmpt.org/wp-content/uploads/2021/11/5.3.6-postmarketing-experience.pdf
Angiopathic neuropathy,5.3.6 Cumulative Analysis of Post-Authorization Adverse Event Reports of PF-07302048 (BNT162B2) Received Through 28-Feb-2021 Report,Worldwide Safety Pfizer,2021-04-30,Document was released as part of a Freedom of Information Act (FOIA) lawsuit against the United States Food and Drug Administration (FDA) filed by the Public Health and Medical Professionals for Transparency non-profit organization,https://phmpt.org/wp-content/uploads/2021/11/5.3.6-postmarketing-experience.pdf
Ankylosing spondylitis,5.3.6 Cumulative Analysis of Post-Authorization Adverse Event Reports of PF-07302048 (BNT162B2) Received Through 28-Feb-2021 Report,Worldwide Safety Pfizer,2021-04-30,Document was released as part of a Freedom of Information Act (FOIA) lawsuit against the United States Food and Drug Administration (FDA) filed by the Public Health and Medical Professionals for Transparency non-profit organization,https://phmpt.org/wp-content/uploads/2021/11/5.3.6-postmarketing-experience.pdf
Anosmia,5.3.6 Cumulative Analysis of Post-Authorization Adverse Event Reports of PF-07302048 (BNT162B2) Received Through 28-Feb-2021 Report,Worldwide Safety Pfizer,2021-04-30,Document was released as part of a Freedom of Information Act (FOIA) lawsuit against the United States Food and Drug Administration (FDA) filed by the Public Health and Medical Professionals for Transparency non-profit organization,https://phmpt.org/wp-content/uploads/2021/11/5.3.6-postmarketing-experience.pdf
Antiacetylcholine receptor antibody positive,5.3.6 Cumulative Analysis of Post-Authorization Adverse Event Reports of PF-07302048 (BNT162B2) Received Through 28-Feb-2021 Report,Worldwide Safety Pfizer,2021-04-30,Document was released as part of a Freedom of Information Act (FOIA) lawsuit against the United States Food and Drug Administration (FDA) filed by the Public Health and Medical Professionals for Transparency non-profit organization,https://phmpt.org/wp-content/uploads/2021/11/5.3.6-postmarketing-experience.pdf
Anti-actin antibody positive,5.3.6 Cumulative Analysis of Post-Authorization Adverse Event Reports of PF-07302048 (BNT162B2) Received Through 28-Feb-2021 Report,Worldwide Safety Pfizer,2021-04-30,Document was released as part of a Freedom of Information Act (FOIA) lawsuit against the United States Food and Drug Administration (FDA) filed by the Public Health and Medical Professionals for Transparency non-profit organization,https://phmpt.org/wp-content/uploads/2021/11/5.3.6-postmarketing-experience.pdf
Anti-aquaporin-4 antibody positive,5.3.6 Cumulative Analysis of Post-Authorization Adverse Event Reports of PF-07302048 (BNT162B2) Received Through 28-Feb-2021 Report,Worldwide Safety Pfizer,2021-04-30,Document was released as part of a Freedom of Information Act (FOIA) lawsuit against the United States Food and Drug Administration (FDA) filed by the Public Health and Medical Professionals for Transparency non-profit organization,https://phmpt.org/wp-content/uploads/2021/11/5.3.6-postmarketing-experience.pdf
Anti-basal ganglia antibody positive,5.3.6 Cumulative Analysis of Post-Authorization Adverse Event Reports of PF-07302048 (BNT162B2) Received Through 28-Feb-2021 Report,Worldwide Safety Pfizer,2021-04-30,Document was released as part of a Freedom of Information Act (FOIA) lawsuit against the United States Food and Drug Administration (FDA) filed by the Public Health and Medical Professionals for Transparency non-profit organization,https://phmpt.org/wp-content/uploads/2021/11/5.3.6-postmarketing-experience.pdf
Anti-cyclic citrullinated peptide antibody positive,5.3.6 Cumulative Analysis of Post-Authorization Adverse Event Reports of PF-07302048 (BNT162B2) Received Through 28-Feb-2021 Report,Worldwide Safety Pfizer,2021-04-30,Document was released as part of a Freedom of Information Act (FOIA) lawsuit against the United States Food and Drug Administration (FDA) filed by the Public Health and Medical Professionals for Transparency non-profit organization,https://phmpt.org/wp-content/uploads/2021/11/5.3.6-postmarketing-experience.pdf
Anti-epithelial antibody positive,5.3.6 Cumulative Analysis of Post-Authorization Adverse Event Reports of PF-07302048 (BNT162B2) Received Through 28-Feb-2021 Report,Worldwide Safety Pfizer,2021-04-30,Document was released as part of a Freedom of Information Act (FOIA) lawsuit against the United States Food and Drug Administration (FDA) filed by the Public Health and Medical Professionals for Transparency non-profit organization,https://phmpt.org/wp-content/uploads/2021/11/5.3.6-postmarketing-experience.pdf
Anti-erythrocyte antibody positive,5.3.6 Cumulative Analysis of Post-Authorization Adverse Event Reports of PF-07302048 (BNT162B2) Received Through 28-Feb-2021 Report,Worldwide Safety Pfizer,2021-04-30,Document was released as part of a Freedom of Information Act (FOIA) lawsuit against the United States Food and Drug Administration (FDA) filed by the Public Health and Medical Professionals for Transparency non-profit organization,https://phmpt.org/wp-content/uploads/2021/11/5.3.6-postmarketing-experience.pdf
Anti-exosome complex antibody positive,5.3.6 Cumulative Analysis of Post-Authorization Adverse Event Reports of PF-07302048 (BNT162B2) Received Through 28-Feb-2021 Report,Worldwide Safety Pfizer,2021-04-30,Document was released as part of a Freedom of Information Act (FOIA) lawsuit against the United States Food and Drug Administration (FDA) filed by the Public Health and Medical Professionals for Transparency non-profit organization,https://phmpt.org/wp-content/uploads/2021/11/5.3.6-postmarketing-experience.pdf
Anti-GAD antibody negative,5.3.6 Cumulative Analysis of Post-Authorization Adverse Event Reports of PF-07302048 (BNT162B2) Received Through 28-Feb-2021 Report,Worldwide Safety Pfizer,2021-04-30,Document was released as part of a Freedom of Information Act (FOIA) lawsuit against the United States Food and Drug Administration (FDA) filed by the Public Health and Medical Professionals for Transparency non-profit organization,https://phmpt.org/wp-content/uploads/2021/11/5.3.6-postmarketing-experience.pdf
